university,research_total,total_expenses,total_salaries,Expense_bin,Salaries_bin
439969,0,2196950,1336140,low,low
134811,0,56378100,15662200,standard,standard
447847,35000,10803000,3381480,standard,medium
446446,0,,1430420,,low
451060,0,5236270,2426070,medium,low
408844,0,32020200,17846600,standard,standard
132806,0,,65469,,low
201399,0,3551590,1417070,medium,low
205179,0,22742300,8596260,standard,standard
233329,0,5901680,2160160,medium,low
371052,0,4558500,1418080,medium,low
372921,0,8729840,3610260,standard,medium
382957,0,7052050,2680260,standard,medium
392415,0,5407530,1829950,medium,low
436641,0,,433480,,low
439738,0,5266620,1978790,medium,low
439792,0,5155710,1836880,medium,low
447360,0,4829720,1700980,medium,low
450058,0,9412750,3724080,standard,medium
450067,0,7326480,2838520,standard,medium
451909,0,7398940,2961010,standard,medium
455460,0,,566841,,low
455488,0,3481980,1255040,medium,low
456180,0,5599330,2124740,medium,low
456454,0,6259800,2631250,standard,medium
458681,0,4142890,1187280,medium,low
460020,0,6469590,2691970,standard,medium
475130,0,3811280,1389400,medium,low
480143,0,4912040,1680340,medium,low
487302,0,7412620,2967380,standard,medium
134237,0,300582000,128679000,high,high
461281,0,1598020,706285,low,low
134422,0,1076090,678082,low,low
461883,0,1648980,1011100,low,low
404338,0,10079900,2447050,standard,low
428170,0,43525200,11023600,standard,standard
443270,0,,1434540,,low
428170,0,43525200,11023600,standard,standard
443270,0,,1434540,,low
366553,0,21579900,8301690,standard,standard
449524,0,3395720,1434960,medium,low