university,tuition_and_fees,total_expenses,total_salaries,pell_grants
439969,2266306,2196950,1336140,313209
134811,43237206,56378100,15662200,7334540
447847,10671004,10803000,3381480,64128
446446,965507,,1430420,213734
451060,5290849,5236270,2426070,970803
408844,34594758,32020200,17846600,8362590
132806,41835,,65469,60658
201399,3064148,3551590,1417070,978317
205179,21368308,22742300,8596260,6834760
233329,4439036,5901680,2160160,1380050
371052,4575982,4558500,1418080,1714550
372921,8680564,8729840,3610260,2709680
382957,6662730,7052050,2680260,1892580
392415,3752640,5407530,1829950,1174670
436641,1394735,,433480,518371
439738,5594396,5266620,1978790,2027520
439792,4882969,5155710,1836880,1486610
447360,2479810,4829720,1700980,607422
450058,10023943,9412750,3724080,2452480
450067,6497414,7326480,2838520,1710910
451909,7520446,7398940,2961010,2159410
455460,2315326,,566841,845790
455488,4300974,3481980,1255040,1633940
456180,3899277,5599330,2124740,1014700
456454,5523326,6259800,2631250,1264140
458681,3329875,4142890,1187280,907172
460020,6778108,6469590,2691970,2272300
475130,3782485,3811280,1389400,966546
480143,3786885,4912040,1680340,908847
487302,7146208,7412620,2967380,2081300
134237,373775538,300582000,128679000,53263100
461281,310288,1598020,706285,66645
134422,493599,1076090,678082,181333
461883,1511737,1648980,1011100,62363
404338,8249077,10079900,2447050,596402
428170,22761943,43525200,11023600,5113180
443270,3578433,,1434540,797044
428170,22761943,43525200,11023600,5113180
443270,3578433,,1434540,797044
366553,20079603,21579900,8301690,4523580
449524,3120572,3395720,1434960,759584